kind,name,ref,status,host_placement,integration_mode,notes,tracked_at_utc,classification,layer,recommended_host,recommended_integration,classification_notes,available_in_bundle
internal_artifact,cloudshell-hardened-pack,artifacts/cloudshell-hardened-pack,built,Twin,Argo+Helm,"Hardenings bundle: policies, netpol, quotas, spawner/culler code+manifests.",2026-01-14 14:05:30Z,core,devtools,Twin,Argo+Helm,Hardened Cloud Shell service bundle.,True
internal_artifact,genesys-cli-pack,artifacts/genesys-cli-pack,built,Genesys,Podman/toolbox shims,Open-source CLI parity pack with Prophet shim + terminal configs.,2026-01-14 14:05:30Z,core,operator-ux,Genesys,Podman/toolbx,Operator parity toolchain and Prophet shim.,True
internal_artifact,lxc-dev-shim-pack,artifacts/lxc-dev-shim-pack,built,Inception/Genesys,CapDs + gateway manifests,LXC/LXD dev workspaces pack with CapDs and scripts.,2026-01-14 14:05:30Z,profile,dev-workspaces,Genesys/Inception,CapDs + LXD/LXC,Gitpod-like dev workspaces without K8s tenancy.,True
internal_artifact,prophet-capds,artifacts/prophet-capds,built,Genesys,CapD contracts,Canonical CapD spec set tying together PaaS/GitOps flows.,2026-01-14 14:05:30Z,core,control-plane,Genesys,CapD contracts,Canonical capability descriptors for agentic GitOps.,True
upload,Automation-I4.0-Ontology-master.zip,/mnt/data/Automation-I4.0-Ontology-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,knowledge,Twin+Genesys,GitOps-managed schemas,Ontology and schema tooling; integrate into UI and Git flows.,False
upload,KBox-master.zip,/mnt/data/KBox-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,pending,unknown,TBD,TBD,Unclassified; needs triage.,False
upload,api-contracts-main.zip,/mnt/data/api-contracts-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,core,paas/porter,Genesys+Twin,GitOps (Argo) + Porter API,Porter PaaS core or official supporting component.,False
upload,boinc-policy-master.zip,/mnt/data/boinc-policy-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,volunteer-compute,Twin+Genesys,Pool profile,Compute pools and task placement patterns; keep as optional profile.,False
upload,cloudhaven-server-main.zip,/mnt/data/cloudhaven-server-main.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,mesh/federation,Genesys+Twin,Domain plane,Digital twin cloud mesh + federation concepts; requires deeper code triage.,False
upload,cloudland-master.zip,/mnt/data/cloudland-master.zip,pending,,,Mentioned as uploaded in chat; not currently present in bundle filesystem.,2026-01-14 14:05:30Z,profile,mesh/federation,Genesys+Twin,Domain plane,Digital twin cloud mesh + federation concepts; requires deeper code triage.,False
